Timestamp,Gender,Age (number),Race/ethnicity,If not from U.S. please specify COUNTRY (leave blank if from U.S.),"Home State (abrv., Ex. NY, USE ALL CAPS please!)
(N/A if not from U.S.)","Name of home COUNTY (Ex. Broome)
(N/A if not from U.S.)",Did you play organized sports from ages 5-12?,Did you play organized sports from ages 13-18?,"Which sport was your primary sport in high school (if you played, if not click none)","Which sport was your secondary sport in high school (if you played, if not click none)","Did you hold a leadership position in high school for your sport? (Captain, etc.) (Click no if did not play a sport)",At what point did you stop playing these sports?,"To the best of your recollection, How many hours did you study in High School per week?",Were you part of any non sport club(s) in high school?,"if yes, how many","What was, to the best of your recollection, your High School average (out of 100)?
(If unknown, write N/A)",How many days per week did you train for your sport in high school (if no sport: select Did not train),How many hours did you spend training for your sport per day?,Did you aspire to be an athlete in college?,Did you mention any sports involvement on your college application?,Year,"Major
(if not at Binghamton click OTHER @ bottom)
(if not at college choose NONE @ bottom)",What college do you attend (did attend)?,If not attending/didn't attend Binghamton University please specify your Major at your university,If you did not attend/aren't attending Binghamton University did you apply to Binghamton University? ,If you did not attend/aren't attending Binghamton University did you get accepted into Binghamton? ,"College GPA (EX: 3.53)
(If freshman write ""No GPA Yet"")",After college plans,Are you currently an athlete on a NCAA team at your school (D1/D2/D3)?,"What university teams are you on, if any? (choose all that apply, if not click none)","Do you participate in any intramural sports in college?
",How many days do you train per week currently? (if not a college athlete select Do not train),How many hours do you spend training for your sport per day? (if not a college athlete select Do not train),"Do you think participation in these sports has positively or negatively affected your grades
","Are you enrolled in college on an athletic scholarship if you play a sport?
(Don’t answer if you do not play a sport in college)","Feedback:

Were any of the questions confusing or unclear? If yes, which ones?
Did any questions feel repetitive or unnecessary?
Were there any important questions you think we should add?
How long did the survey take you to complete? Was that too short, too long, or about right?
Did the wording of any questions feel biased or leading?
Were the answer choices clear and complete (e.g., did you ever feel like your answer wasn’t listed)?
Overall, what parts of the survey worked well?
What parts should we change or remove?
","If you answered yes to the last question, how did you make your team?"
9/18/2025 16:35:47,Male,21,White,,NY,New York,No,No,None,None,No,Never Played,3,No,,96,Did not train,Did not train,No,No,Senior,"Political Science, BA",Binghamton University,,,,3.72,Graduate School,No,None,No,Do not train,Do not train,N/A,No,,
9/18/2025 16:38:44,Male,21,White,,NY,Rockland,Yes,Yes,XC/Track and Field,Baseball,Yes,End of high school,3,Yes,1,96,7,3,Yes,Yes,Senior,"Mathematical Sciences, BA",Binghamton University,,,,3.18,Employment,No,None,Yes,Do not train,Do not train,Positive effect,No,N/A,
9/18/2025 16:42:38,Male,21,White,,NY,Suffolk,Yes,Yes,Baseball,XC/Track and Field,Yes,End of high school,2,Yes,1,98,6,2,Yes,Yes,Senior,"Political Science, BA",Binghamton University,,,,3.5,Graduate School,No,None,Yes,Do not train,Do not train,Positive effect,,,
9/18/2025 17:55:02,Male,21,White,,NY,Nassau,Yes,Yes,Tennis,None,Yes,Never Stopped,8,Yes,5+,99.3,5,2,No,Yes,Senior,"Mathematical Sciences, BA",Binghamton University,,,Yes,3.9,Employment,No,None,No,Do not train,Do not train,N/A,,,
9/18/2025 18:19:22,Female,21,White,,MA,Plymouth,Yes,Yes,Softball,Field Hockey,Yes,End of high school,3,No,,N/A,6,2,No,Yes,Senior,"English, BA",Binghamton University,,,,3.98,Graduate School,No,None,No,Do not train,Do not train,No effect,,"I feel like the mix of required vs unrequired questions was a little strange. For example, the demographics section at the beginning where you asked where are you from, the option to fill in a state was not required (because there might be people not from the US taking this) but the question about what county are you from was required (despite the fact that not everybody taking this will be from the US, which you did clarify in the questions).

The only question I found unclear was the one about the high school average out of 100. I was not sure what a high school average was (which might just be a me thing), or if you were asking for the average of something and just forgot to put the extra word in there. 

Other than those two things, I thought this survey was well put together and thorough in its questions. It did not take a long time to fill out and both the questions and answers were easy to understand. Nice job!",
9/18/2025 18:21:44,Female,20,Black or African American,,NY,Kings,Yes,Yes,Swimming and Diving,None,No,End of high school,5,Yes,1,98,3,2,No,Yes,Senior,"Economics, BA",Binghamton University,,,,3.7,Employment,No,None,No,Do not train,Do not train,Positive effect,,,
9/18/2025 21:27:47,Female,21,White,,NY,Nassau,Yes,Yes,Volleyball,Lacrosse,No,End of high school,4,Yes,2,96,5,2,No,Yes,Senior,"Economics, BA",Binghamton University,,Yes,Yes,3.55,Employment,No,None,Yes,Do not train,Do not train,N/A,No,,
9/18/2025 22:31:11,Female,21,Hispanic or Latino,,NY,Westchester,Yes,Yes,XC/Track and Field,XC/Track and Field,Yes,Never Stopped,4,Yes,1,98,6,2,Yes,Yes,Senior,Other,Stony Brook University,Health science ,No,,3.2,Graduate School,Yes,XC/Track and Field,No,6,2,Positive effect,Yes,,Recruited
9/22/2025 13:07:32,Male,21,White,,NY,N/A,Yes,Yes,Lacrosse,None,No,End of high school,3,Yes,2,94,6,2,No,Yes,Senior,"Sociology, BA",Binghamton University,,Yes,Yes,3.3,Employment,No,None,No,Do not train,Do not train,Positive effect,No,N/A,
9/22/2025 13:16:08,Female,21,White,,NY,Nassau,Yes,Yes,Lacrosse,Volleyball,No,During high school,2,Yes,2,98,4,1,No,No,Senior,"Biological Sciences, BS",Binghamton University,,,,3.67,Graduate School,No,None,No,Do not train,Do not train,N/A,No,,
9/22/2025 13:18:16,Female,21,White,,NY,N/A,Yes,Yes,Field hockey ,None,No,End of high school,4,Yes,1,96,2,2,No,Yes,Senior,"English, BA",Binghamton University,,Yes,,3.81,Employment,No,None,No,Do not train,Do not train,N/A,No,,
9/22/2025 13:21:06,Male,21,Asian,,NY,Rockland,Yes,Yes,Basketball,XC/Track and Field,Yes,Never Stopped,3,Yes,1,94,6,3,Yes,Yes,Graduate Student,"Geological Sciences, BA",Binghamton University,,,,3.5,Employment,No,None,Yes,Do not train,Do not train,Positive effect,No,Well done!,
9/22/2025 13:21:25,Female,20,"Asian, White",,NY,Queens ,Yes,Yes,Volleyball,None,Yes,End of high school,6,Yes,3,99.1,6,2,Yes,Yes,Senior,"Mathematical Sciences, BA",Binghamton University,,,,3.33,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
9/22/2025 13:21:31,Female,21,White,,NY,Nassau ,Yes,Yes,Swimming and Diving,Volleyball,Yes,End of high school,3,Yes,3,105,5,1,No,No,Senior,"Philosophy, Politics, and Law, BA",Binghamton University,,,,3.92,Graduate School,No,None,No,Do not train,Do not train,N/A,No,,
